"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","","2","kalki1948-12-26","","Magazine,Tamil Magazine","Kalki Magazine 1948-12-26","1948"
"","","3","kalki1948-01-18","","Magazine,Tamil Magazine","Kalki Magazine 1948-01-18","1948"
"","","1","kalki1948-03-07","","Magazine,Tamil Magazine","Kalki Magazine 1948-03-07","1948"
"","","1","kalki1948-12-19","","Magazine,Tamil Magazine","Kalki Magazine 1948-12-19","1948"
"","","2","kalki1948-01-04","","Magazine,Tamil Magazine","Kalki Magazine 1948-01-04","1948"
"","","2","kalki1948-08-29","","Magazine,Tamil Magazine","Kalki Magazine 1948-08-29","1948"
"","","3","kalki1950-05-14","","Magazine,Tamil Magazine","Kalki Magazine 1950-05-14","1950"
"","","2","kalki1949-06-26","","Magazine,Tamil Magazine","Kalki Magazine 1949-06-26","1949"
"","","2","kalki1949-08-22","","Magazine,Tamil Magazine","Kalki Magazine 1949-08-22","1949"
"","","4","kalki1949-09-04","","Magazine,Tamil Magazine","Kalki Magazine 1949-09-04","1949"
"","କୃଷ୍ଣଚନ୍ଦ୍ର ସେନଗୁପ୍ତ,Krishnachandra Sengupta,Kr̥ṣṇacandra Sengupta","1","janani-1936","","ପ୍ରବନ୍ଧ,Essay,Odia Bibhaba","ଜନନୀ","1936,1922"
"","ଯତୀନ୍ଦ୍ର ମୋହନ ମହାନ୍ତି,Jatindra Mohan Mohanty,Ẏatindra Mohan Mohāntẏ","1","janmastami-2012","","ଉପନ୍ୟାସ,Novel,Odia Bibhaba","ଜନ୍ମାଷ୍ଟମୀ","2012"
"","ಮೆಲ್ವಿನ್ ಪಿಂಟೊ, ನೀರುಡೆ","22","mhovmanimoos0000melw","Ashavadi Prakashan","","ಮ್ಹೊಂವ್ ಆನಿ ಮೂಸ್",""
"","WALTER LASRADO","3","mornasothalo0000walt","","","MORNASO THALO",""
"","magaral karhigaya mudhaliyar","40","mozhinool0000maga","vivekandha press, vepery","","mozhi nool","1913"
"","John J. Stern, M. D.","8","nutritioninophth0000john","The National Vitamin Foundation, Incorporated","CFTRI","Nutrition In Ophthalmology","1950"
"","VIKARNA KHANDEPARKAR","5","paratekda0000vika","VRUDDHI PRAKASHAN","","PARAT EKDA","2014"
"","Hema Pundalik Naik","16","pasay0000hema","Apurbhai Prakashan","","Pasay","1982"
"","Shah Sulaiman","11","lawofgravitation0000shah","","","The Law Of Gravitation","1936"
"","ମୁକୁନ୍ଦ କାବ୍ୟତୀର୍ଥ,Mukunda Kabyatirtha","9","jayadratha-badha-nataka-1914","Kishore Machine Press, Talcher","ନାଟକ,drama","ଜୟଦ୍ରଥ ବଧ ନାଟକ","1914"
"","କୈଳାଶ ଚନ୍ଦ୍ର ଦାଶ,Kailas Chandra Das,Kail̥ās Candra Dās","2","krupasindhu-narendra-deba-2003","","ଜୀବନୀ,Biography,Odia Bibhaba","କୃପାସିନ୍ଧୁ ନରେନ୍ଦ୍ର ଦେବ","2003"
"","R.K.Rao","12","keralantlikonkan0000rkra","Konkani Language Institution","","Keralantli Konkani Lokgeetam","1995"
"","Mahabaleshwar Sail","15","kholkholmulam0000maha","Om Shri Datta","","Khol Khol Mulam",""
